BAKIN　サンプルゲーム	BAKIN Sample Game
入口_7	Entrance_7
階段_1	Stairs_1
階段_2	Stairs_2
階段_3	Stairs_3
精霊の剣を入手するスイッチ	Switch to get the sword.
精霊の剣イベントスイッチ	Sword Event Switch
砂漠との出入口	Gateway to the Desert
場所移動	Relocation
最後の橋との出入口	Gateway to the last bridge
場所移動_2回目以降	Relocation_2nd time onwards
Y軸移動ブロック	Y-axis moving block
ブロック移動	Block movement
中央_1	Center_1
中央_2	Center_2
中央_3	Center_3
中央_4	Center_4
中央_5	Center_5
宝箱-アイテムを得る(炎の精霊石)	Treasure Chest - Get Item (Spirit Stone of Flame)
手に入れる前	Before obtaining it
手に入れた後	After obtaining it
Z軸移動ブロック	Z-axis moving block
石版を読む	Read the tablet
石版を再度読む	Read the tablet again
橋を動かすスイッチ	Switch to move the bridge
オフ→オン	Off -> On
オン	On
溶岩から出てくる橋	Bridge coming out of the lava
溶岩から出てくる橋_2	Bridge coming out of the lava_2
橋を動かすスイッチへ移動ブロック	To the switch that moves the bridge: moving blocks
カギ未取得	Key not obtained
橋を動かすスイッチ	Switch to move the bridge
上昇した	Moved up
上昇	Move Up
炎の精霊石入手後	After obtaining the Spirit Stone of Flame
下降	Move Down
中央_6	Center_6
中央_7	Center_7
宝箱-重要なアイテムを得る(古代のカギ)	Treasure Chest - Obtain an important item (Ancient Key)
イベント3	Event 3
聖堂のドア	Church Door
案内板_1	Information board_1
案内板_イベント用	Information board_for event
ネムの滝への出入り口	Entrance to the Nem Falls
ネムの滝へ	To Nem Falls
移動禁止	Disable Movement
移動禁止権取得後	After Disable Movement
移動禁止宝珠依頼後	After Requesting Orb and Disable Movement
案内板_2	Information board_2
村の西洞窟入口	Entrance to the west cave of the village
村の中央洞窟入口	Entrance to the central cave in the village
セーブポイント	Save Point
セーブポイントの説明	Explanation of save points
カメラ_家から初めて出たとき	Camera _ First time out of the house
寄り道禁止メッセージ	No Detour Message
寄り道禁止	No detouring
村人グレイ	Villager Gray
会話_1	Conversation_1
会話_2	Conversation_2
おじいさん	Old Man
おじいさんの悩み	Old man's problem
メモの内容	Contents of the memo
パワフルきのこを取った	Took a powerful mushroom
空を飛ぶ	Fly in the air
商人ベムス	Bemus the merchant
商人べムス登場	Bemus the merchant appears
商人ベムス用イベントスイッチ	Event Switch for Merchant Bemus
商人べムス主人公へ近づく	Bemus the merchant: Approaching the main cast
商人べムス主人公と接触	Bemus the merchant: Contact the main cast
商人べムス会話	Merchant Bemus conversation
商人べムスイベント終了	Merchant Bemus event ends
商人べムス別れ	Merchant Bemus parting
商人べムスイベント別れた後	Bemus the merchant: After parting
商人べムス別れた後会話	Bemus the merchant: Conversation after parting
洞窟の番人	The Cave Keeper
ルナイベント用スイッチ	Switch for Lunar Event
ルナイベントスイッチ	Lunar Event Switch
ルナ登場	Luna appeared
主人公に近づく	Approaching the main cast
ルナと話す	Talking to Luna
ベムス用イベントスイッチ	Event Switch for Bemus
ベムスイベントスイッチ	Event Switch for Bemus
キノコイベント用エフェクト	Effect for mushroom event
パワフルきのこを取った	Took a powerful mushroom
パワフルきのこ取得前	Before obtaining Powerful Mushroom
パワフルきのこ取得後	After obtaining Powerful Mushroom
ケンの家に移動	Move to Ken's house
歩く犬	Walking Dog
おすわり	Sit
砂漠への門	Gate to the Desert
サイラスの話を聞いたあと	After listening to Cyrus
サイラスの話を聞く前	Before listening to Cyrus
剣取得後サイラスの話を聞く前	After getting the sword, before listening to Cyrus
砂漠へ移動初回	First time to the desert
砂漠へ移動	Move to the desert
灼熱の洞窟への出入口	Entrance to the Scorching Cave
灼熱の洞窟への出入り口	Entrance to the Scorching Cave
隠しダンジョンへの出入口	Entrance to the hidden dungeon
ネイテイ村への出入り口	Entrance to the Neitei Village
案内板_別ルートイベント作成用	Information board_for creating another route event
隠しイベント	Hidden Event
カメラ_砂漠に初めて入った	Camera_First time in the desert
エリザベータ登場イベント用スイッチ	Switch for Elisabeta appearance event
エリザベータ登場イベントオン	Elisabeta appearance event on
宝珠の祠への出入り口	Entrance to the Shrine of the Orb
右側_1	Right_Side_1
左側_1	Left_Side_1
右側_2	Right_Side_2
左側_2	Left_Side_2
カメラ_橋の中腹	Camera _ Middle of the bridge
カメラ_帰り	Camera_Return
祠の岩戸を発見	Found the rock door of the shrine
カメラ_橋の上出口	Camera _ Exit on the bridge
祠の岩戸	The rock door of the shrine
祠の岩戸が爆発	The rock door of the shrine explodes
爆発エフェクト	Explosion Effect
岩戸爆発演出	Rock door explosion
精霊石が光りだす	The spirit stone starts to glow
光る精霊石	Glowing Spirit Stone
イベント削除	Delete Event
カメラ_初めて最後の橋に来た	Camera _ First time on the last bridge
最後の橋への出入り口	The doorway to the last bridge
大地の宝珠	The Earth Orb
最後の闘い	The Last Battle
カメラ_階段	Camera_stairs
カメラ_入口	Camera_entrance
カメラ_階段上	Camera_on the stairs
宝珠の間岩戸発見	Room of the Orb: Discovering the rock door
宝珠の間岩戸前	Room of the Orb: in front of the rock door
岩戸を発見	Discovering the rock door
宝珠の間岩戸	Room of the Orb: The rock door
宝玉の間岩戸が開く	Room of the Orb: Opening the rock door
岩戸が開く	Opening the rock door
宝珠を取ってこい	Go get the Orb
宝珠の場所	Location of the Orb
宝珠取得後	After obtaining the Orb
聖堂入口	Entrance to the Church
洞窟の入り口	Entrance of the Cave
グレイ	Gray
カメラ_宝珠の間	Camera_Orb Room
押せる石像	Pushable stone statue
押せる石	Pushable Stone
押して転がせる	Push and roll
石像移動先	Stone statue destination
移動先	Destination
岩戸シートに移動	Move to the rock door sheet
岩戸シート	The rock door sheet
岩戸が開くスイッチオン	Switch on to open the rock door
立っている	Standing
バトルに負けた後	After losing a battle
村への出口	Exit to the village
商人べムスイベント終了	Merchant Bemus event ends
お店	Shop
購入後	After purchase
祭壇	Altar
サイラスからの手紙	Letter from Cyrus
夕方の聖堂	Evening Church
イベント31	Event 31
ベムス商店休業	Bemus Shop closed
セーブファイル	Save File
ベムスショップ	Bemus Shop
剣を抜く	Pull the Sword
剣を手に入れた	Got the Sword
剣を抜く２	Pull the Sword 2
最後のイベント	Last Event
逃げる村人	Running Away Villager
逃げる村人_2	Running Away Villager_2
逃げる村人_3	Running Away Villager_3
逃げる村人_4	Running Away Villager_4
逃げる村人_5	Running Away Villager_5
逃げる村人_6	Running Away Villager_6
逃げる村人_7	Running Away Villager_7
イベント1	Event 1
イベント2	Event 2
イベント3	Event 3
イベント4	Event 4
イベント5	Event 5
イベント6	Event 6
イベント7	Event 7
イベント8	Event 8
イベント9	Event 9
イベント10	Event 10
シート	Sheet
サイラスに報告しなくてはならない	Must report to Cyrus
サイラス先生	Cyrus
精霊の剣を取りに行くことを頼まれる	Asking to get the Sword of the Spirit
滝の場所	Waterfall Location
看板-メッセージ	Sign - Message
From オープニング/夢の中	From Opening / In a dream
From ケンの家/イザベラ	From Ken's House/Isabella
From Home/イベント12	From Home/Event 12
From Wetland/聖剣を入手する。	From Wetland/Get the Sword
From Wetland/イベント5	From Wetland/Event 5
\NPL[ルナ]\lipspd[0.6]あの壁のところに何かあるよ！	\NPL[Luna]\lipspd[0.6]There's something in that wall!
ここは転職のほこら	This is the place where you can change classes.
きっと　よい出会いがあるであろう	you'll have a good encounter.
\NPL[ルナ]早く宝珠を取りに行かないとダメだよ。	\NPL[Luna]We have to go get the Orb quickly.
セーブポイントの説明	Explanation of Save Points
From 砂漠_修正/Cave Entrance - Link to Another Place
エリザベータと話す	Talk to Elisabeta
\NPL[???]こっちのルートのイベントも作ってみなさい。	\NPL[???]You should also create events for this route.
From 砂漠_修正/エリザベータ	From desert_Mod/Elisabeta
From 最後の橋_修正/Event 2_3_3	From The Last Bridge_Mod/Event 2_3_3
From 宝珠の祠/最後の闘い	From Shrine of Orb/ The Last Battle
From 砂漠_修正/Cave Entrance - Link to Another Place	From desert_Mod/Cave Entrance - Link to Another Place
From 宝珠の祠_修正/イベント16	From Shrine of the Orb_Mod/Event 16
\NPR[ルナ]\lipspd[0.6]…\wどういうこと、これ…？	\NPR[Luna]\lipspd[0.6]....\wWhat is going on?
教会_Ending	Church/Ending
ネイテイ村_Ending	Neitei Village_Ending
From 教会_Ending/Mail_fromTeacher_2	From Church_Ending/Mail_fromTeacher_2
From ネイテイ村_修正/商人ベムス通せんぼ	From Neitei Village_Mod/Merchant Bemus Roadblock
From ネイテイ村_Ending_2/イベント5	From Neitei Village_Ending_2/event 5
From ネイテイ村_Ending_2/走り出す_4_2	From Neitei Village_Ending_2/running_4_2
From ネイテイ村_修正/イベント12	From Neitei Village_Mod/Event 12
\NPL[???]……まだ早い。	\NPL[???]...... still early.
岩・石	Rocks/Stones
2Dドットキャラクター	2D Dot Casts
神官（女）	Priest (Female)
植物	Plants
建物	Buildings
遺跡	Ruins
室内モデル	Indoor Models
OLD_武器	Old_Weapons
水	Water
勇者	Hero
建物_2	Buildings_2
遠景	Skybox
データ検証用	For data validation
マンガエフェクト	Manga Effect
データ検証用_2	For data validation_2
マンガエフェクト_2	Manga Effect_2
会話用	For conversation
メニュー関連画像	Menu related images
イベント専用画像	Event images
会話用スプライト	Conversation Sprites
2Dモンスター	2D Monsters
姫	Princess
サンプルゲーム用イメージ	Images for sample games
王様	King
ガイコツ	Skeleton
商人（荷持なし）	Merchant (without baggage)
商人（荷物あり）	Merchant (with baggage)
メイド	Maid
女王	Queen
王子	Prince
宝玉	Orb
モンスター（歩行）	Monsters (walking)
屋内	Indoor
屋外	Outdoor
仕掛け	Traps
狼	Wolf
おじさん	Old Man
未翻訳	untranslated
2Dアイコン	2D Icons
おばさん	Old Lady
女の子	Girl
足音	Footsteps (sound)
出入り口	Exit and Entrance
マッププレビュー	Map Preview
旧マップ	Old Maps
枠線	Grid-line
スキルテキスト 	Skill Text 
消費MPテキスト 	MP Consumption Text 
スキル、消費MP	Skills, MP Consumption
テキスト	Text
テキスト 	Text
テキスト	Text
ヘルプ	Help
キャラクター表示用_1	Display Cast_1
キャラクター表示用_2	Display Cast_2
選択スキル説明文	Selected Skill Descriptions
スキル6	Skill 6
スキル7	Skill 7
スキル8	Skill 8
スキル9	Skill 9
スキル10	Skill 10
スキル11	Skill 11
スキル12	Skill 12
スキル13	Skill 13
スキル14	Skill 14
スキル15	Skill 15
スキル22	Skill 22
スキル選択	Skill Selection
アイテム7	Item 7
アイテム8	Item 8
アイテム9	Item 9
アイテム10	Item 10
アイテム11	Item 11
アイテム12	Item 12
アイテム13	Item 13
アイテム20	Item 20
アイテム21	Item 21
アイテム22	Item 22
アイテム選択	Item Selection
あと	Until the Next Level
経験値あと	Until Next Level Up
レベルテキスト 	Level Text
アイテムテキスト 	Item Text
レベルアップ!	Level Up!
HPバー	HP Bar
MPバー	MP Bar
パーティ4	Party 4
パーティ3	Party 3
パーティ2	Party 2
パーティ1	Party 1
パーティー Party
全体背景	Overall Background
ゲーム終わる	Exit Game
メインメニュー	Main Menu
情報	Information
パーティー表示 Party Window
アイテム対象者選択	Item Target Selection
スキル使用者選択	Skill User Selection
スキル対象者選択	Skill Target Selection
装備変更者選択	Equipment Changer Selection
選択キャラクター名	Selected Cast Name
装備品	Equipments
パラメータ	Parameters
最大HP	Max HP
パラメータ名	Parameter Name
パラメータ値	Parameter Value
最大MP	Max MP
物理攻撃力	PHYS ATK
力	Strength
命中	Hit
回避	Evasion
装備アイコン	Equipment Icon
装備剣	Equipped Sword
装備盾	Equipped Shield
装備兜	Equipped Headgear
装備胴	Equipped Armor
装備アクセサリー1	Equipped Accessory 1
装備アクセサリー2	Equipped Accessory 2
装備部位選択	Equipment Parts Selection
装備選択	Equipment Selection
アイテム14	Item 14
アイテム15	Item 15
アイテム16	Item 16
パーティメンバー	Party Members
パーティ選択	Party Selection
控えメンバー	Reserve Members
控え選択	Reserve Selection
図鑑6	Picture Book 6
図鑑7	Picture Book 7
図鑑8	Picture Book 8
図鑑9	Picture Book 9
図鑑10	Picture Book 10
図鑑11	Picture Book 11
図鑑12	Picture Book 12
図鑑13	Picture Book 13
図鑑14	Picture Book 14
図鑑15	Picture Book 15
図鑑16	Picture Book 16
図鑑選択	Picture Book Selection
スキル0	Skill 0
ドロップアイテム	Drop Item
ドロップアイテム1	Drop Item 1
ドロップアイテム2	Drop Item 2
ドロップアイテム3	Drop Item 3
ドロップアイテム4	Drop Item 4
生息地	Habitat
生息地1	Habitat 1
生息地2	Habitat 2
生息地3	Habitat 3
生息地4	Habitat 4
詳細	Details
図鑑詳細	Picture Book Details
マップ下地	Base Map
プレイヤーアイコン	Player Icon
現在地	Current Location
現在地テキスト	Current Location Text
ファイル選択	File Selection
セーブデータ6	Save Data 6
セーブデータ7	Save Data 7
セーブデータ8	Save Data 8
セーブデータ9	Save Data 9
セーブデータ10	Save Data 10
セーブデータ11	Save Data 11
セーブデータ12	Save Data 12
セーブデータ13	Save Data 13
セーブデータ14	Save Data 14
セーブデータ15	Save Data 15
セーブデータ16	Save Data 16
セーブデータ17	Save Data 17
セーブデータ18	Save Data 18
セーブデータ19	Save Data 19
セーブ選択	Save Selection
セーブ情報表示	Save Information Window
下地	Base
セーブデータを上書きしますか?	Do you want to overwrite the saved data?
する	Yes
しない	No
操作	Operation
ガイド矢印	Guide Arrows
サウンド	Sound
設定の初期化	Initialize Settings
ゲーム終了確認表示	Game End Confirmation Window
枠	Frame
アイテム_1	Item_1
アイテム_2	Item_2
アイテム_3	Item_3
アイテム_4	Item_4
アイテム_5	Item_5
アイテム_6	Item_6
アイテム_7	Item_7
アイテム_8	Item_8
アイテム_9	Item_9
アイテム_10	Item_10
アイテム_11	Item_11
支払額	Amount Paid
所持アイテム	Items Possessed
状態 : \reservecondition	State: \reservecondition
状態 : \partycondition	State: \partycondition
状態 : \currentsavepartycondition[0]	State: \currentsavepartycondition[0]
状態 : \currentsavepartycondition[1]	State: \currentsavepartycondition[1]
状態 : \currentsavepartycondition[2]	State: \currentsavepartycondition[2]
状態 : \currentsavepartycondition[3]	State: \currentsavepartycondition[3]
消費HP : \currentlearnskillconsumptionhp		HP Consumption: \currentlearnskillconsumptionhp
消費MP : \currentlearnskillconsumptionmp	MP Consumption: \currentlearnskillconsumptionmp
消費HP : \selectskillconsumptionhp	HP Consumption: \selectskillconsumptionhp
消費MP : \selectskillconsumptionmp	MP Consumption: \selectskillconsumptionmp
種別 : \selecshoptitemcategory	Category : \selecshoptitemcategory
所持数 : \selectshopitemnum	Owned : \selectshopitemnum
泊まる : \innpriceG	Stay: \innpriceG
種別 : \selectitemcategory	Category : \selectitemcategory
この先灼熱の洞窟	"Lava Region Ahead"
剣の番人	Sword Keeper
買うアイテム選択	Items to be Purchased
売るアイテム選択	Items to be Sold
価格	Price
ページ	Page
左右でページ変更	<- Turn Pages ->
\NPR[ルナ]\lipspd[0.6]なによ、あなた誰？	\NPR[Luna]\lipspd[0.6]Hey, who are you?
\NPL[エリザベータ]\lipspd[0.6]私、エリザベータ。	\NPL[Elisabeta]\lipspd[0.6]I'm Elisabeta.
\NPL[???]\lipspd[0.6]悪いけどちょっと腕前を見せてもらうよ！\w[1]\^	\NPL[???]\lipspd[0.6]No offense, but I'm going to have to see how good you are!\w[1]\^
\NPL[エリザベータ]\lipspd[0.6]大地の宝珠のところまで一緒に行ってあげる\!\nよろしくね！	\NPL[Elisabeta]\lipspd[0.6]I'll go with you to the Earth Orb.\!\nMore the merrier, right?
\NPL[エリザベータ]\lipspd[0.6]まーまー、仲良くしましょ！	\NPL[Elisabeta]\lipspd[0.6]Well, well. Let's get along!
攻撃	Attack
防御	Guard
スキル	Skills
アイテム	Items
{0} は再び立ち上がった!	{0} stood up!
{0} は毒におかされている…	{0} is poisoned...
{0} の体から毒が消えた!	{0} recovered from poison!
{0} は眠っている…	{0} is sleeping...
{0} は目が覚めた!	{0} has woken up!
{0} は体がマヒして動けない!	{0} is paralyzed and can't move!
{0} はマヒが解けた!	{0} recovered paralysis!
{0} は混乱している…	{0} is confused...
{0} は正気に戻った!	{0} recovered from confusion!
{0} は惑わされている…	{0} is charmed...
{0} は我に返った!	{0} recovered from charm!
敵全体に雷属性のダメージを与える	Lightning damage to all enemies
敵単体に噛みついて毒を与える	Bites and poisons a single enemy
大地を揺るがし敵全体に大ダメージを与える	Shakes the earth and deals heavy damage to the entire enemy
敵全体に火属性のダメージを与える	Deals fire damage to all enemies
敵単体を魅了する	Charms a single enemy
\iみんなの体に力がみなぎった！	Everyone's status restored!
RPG Developer Bakinを使ってどのようなゲームを作ることができるのか、その一端を感じていただけるサンプルゲームです。\nテストプレイでゲームを遊んでいただいた上で、プロジェクト内でどんな設定をしているのかを見ていただくことでBakinでのゲーム作りの参考になるはずです。\n	This is a sample game that gives you an idea of what kind of games you can create using RPG Developer Bakin.\nAfter you have played the game in test play, it will be helpful for you to see what settings are specified in the project to assist in creating games in Bakin.
入口_戻り	Entrance_ Return
スタート２_3	Start2_3
スタート３_2	Start3_2
ケンHP監視	Ken HP Monitoring
レターボックス	Letterboxing
勇者A	Hero A
勇者B	Hero B
白魔導士	White Mage
白魔道士	White Mage
黒魔道士	Black Mage
神官A	Priest A
格闘家A	Warrior A
格闘家B	Warrior B
大魔導士	Grand Mage
エルフA	Elf A
エルフB	Elf B
村人A	Villager A
王族A	Royal A
ハウスキーパー	Housekeeper
王族B	Royal B
王族C	Royal C
王族D	Royal D
商人	Merchant
商人A	Merchant A
商人B	Merchant B
スライム	Slime
ゴブリン	Goblin
ガイコツ	Skeleton
狼	Wolf
小鳥	Bird
兵士	Soldier
大臣	Cabinet Minister
村人B	Villager B
男の子	Boy
船乗り	Sailor
黒魔術師	Black Magician
白魔術師	White Magician
神官B	Priest B
兵士（兜）	Soldier (Helmet)
村人A	Villager A
村人B	Villager B
村人C	Villager C
村人D	Villager D
村人E	Villager E
海賊	Pirate
店員A	Clerk A
店員B	Clerk B
子供A	Kid A
子供B	Kid B
賢者	Sage
隊長	Captain
執事	Butler
聖職者A	Clergyperson A
聖職者B	Clergyperson B
占い師	Fortuneteller
老人A	Senior Citizen A
犬	Dog
老人B	Senior Citizen B
酒場A	Bar A
酒場B	Bar B
悪魔の騎士	Demon Knight
chr001勇者A	chr001HeroA
chr002勇者B	chr002HeroB
chr003エルフA	chr003ElfA
chr004エルフB	chr004ElfB
chr005格闘家A	chr005WarriorA
chr006格闘家B	chr006WarriorB
chr007神官A	chr007PriestA
chr008神官B	chr008PriestB
chr009黒魔術師	chr009BlackMage
chr010白魔術師	chr010WhiteMage
chr011大魔道士	chr011GrandMage
chr012子供A	chr012ChildA
chr013子供B	chr013ChildB
chr014村人D	chr014VillagerD
chr015村人C	chr015VillagerC
chr016村人B	chr016VillagerB
chr017村人E	chr017VillagerE
chr018老人A	chr018OldPersonA
chr019老人B	chr019OldPersonB
chr020酒場A	chr020BarA
chr021酒場B	chr021BarB
chr022王族A	chr022RoyalA
chr023王族B	chr023RoyalB
chr024王族C	chr024RoyalC
chr025王族D	chr025RoyalD
chr026大臣	chr026CabinetMinister
chr027兵士1	chr027Soldier1
chr027兵士2	chr027Soldier2
chr028隊長	chr028Captain
chr029ハウスキーパー	chr029Housekeeper
chr030執事	chr030Butler
chr031賢者	chr031Sage
chr032占い師	chr032Fortuneteller
chr033聖職者A	chr033ClergypersonA
chr034聖職者B	chr034ClergypersonB
chr035海賊	chr035Pirate
chr036船乗り	chr036Sailor
chr037商人	chr037Merchant
橋を上がったままにする	Leave the bridge up
橋が下がる	The bridge is down
橋が上がる前	Before the bridge goes up
光るパネル_正解判定用	Glowing panel_for judging correct answers
押せる石イベントゴール	Pushable Stone Event Goal
キラキラ	Glitter
ルナ_エンディング	Luna_Ending
エリザベータ_エンディング	Elisabeta_Ending
From /最後のバトル_ドラゴンに変身	From /Last Battle_Turn into Dragon
From ???/夢の中	From ????? /In a dream
From ネイテイ村/砂漠への門	From Neitei Village/Gate to the Desert
From 砂漠/ネイテイ村への出入り口	From Entrance/exit to Desert/Neitei Village
イベントから下に向けてレイキャストを飛ばして、下にイベントの存在を検知したらゴールにカチっとはまるようにしたイベントです。	This is an event that sends a raycast downward from the event and clicks into the goal when the presence of the event is detected below.
レイキャストを出すイベント（押せる石）とこのイベントが重なってしまうと、このイベントの存在が検知されないため、地面に埋め込んでいます。	If this event overlaps with an event that produces a ray cast (a pushable stone), the presence of this event will not be detected, so it is embedded in the ground.
このゴールオブジェクトとの摩擦によって押せる石の移動が妨げられるのを防ぐため、あえてイベント化して衝突判定を全てオフにしています。\n	To prevent the movement of the pushable stone from being hindered by friction with this goal object, all collision detection is turned off by daring to make it an event.\n
効果音を3Dサウンドとして鳴らす場合、イベント開始条件は「1回だけ実行」を選んでください。	When sound effects are played as 3D sounds, select "Execute only once" for the event start condition.
まだ早い。	It's still early.
アイスソードを手に入れた！	Got the Ice Sword!
50Gを手に入れた！	Got 50G!
精霊の剣を護る番人。剣を求める者に闘いを挑み、剣を手にする資格があるかを試す。	A guardian of the sword of the spirit. He challenges those who seek the sword to a fight and tests whether they are qualified to hold the sword in their hands.
レイピア	Rapier
細身の剣	Slim sword
ショートボウ	Short Bow
扱いやすい狩猟用の小型弓	Easy-to-handle small bow for hunting
モーニングスター	Morning Star
メイスの一種\n威圧感は抜群である\nこんなもので叩いたら痛そう…	A type of mace\nIt is very intimidating.\nIt would hurt to be smacked with something like this...
槍	Spear
一般的な槍\n練度が低い者でも戦力になる	General Spear\nEven those with low skill levels can be useful in the battlefield.
{0} は毒におかされている….	{0} is poisoned ....
地形	Terrains
道	Road
Low_屋外	Low_Outdoor
遺跡飾り	Ruins Decoration
魔王城	Devil's Castle
Low_室内	Low_Indoor
Low_建物	Low_Building
イベント用スプライト	Event Sprites
レイアウト関連画像	Layout Related Images
イベント用	For Events
HD屋内	HD Indoor
遺跡パーツ	Ruins Parts
パーティクル	Particles
Low_植物	Low_Plants
3Dスタンプ化済み	3D stamped
ネムの滝-水面	Nem Falls - Water surface
レイアウト用スプライト	Layout Sprites
選択肢	Selection
選択肢左上	Top-Left
選択肢上	Top
選択肢右上	Top-Right
選択肢左	Left
選択肢中央	Center
選択肢右	Right
選択肢左下	Bottom-Left
選択肢下	Bottom
選択肢右下	Bottom-Right
選択肢テキスト	Text
文字入力上	Top
文字入力中央	Center
文字入力下	Bottom
入力文字表示	Output Window
入力文字	Output String
文字一覧表示	Input Window
文字一覧	Input String
ステータス一覧表示	Status List Window
装備キャラクター名前	Equipped Cast Name
選択キャラクター画像	Selected Cast Image
種別:\selecshoptitemcategory	Category: \selecshoptitemcategory
所持数:\selectshopitemnum	Owned: \selectshopitemnum
メッセージ用スプライト	Message Sprites
メッセージスプライト	Message Sprites
状態異常01	State Change01
状態異常02	State Change02
状態異常03	State Change03
状態異常04	State Change04
状態異常05	State Change05
ページ数	Pages
最大ページ数	Max Pages
ガイド	Guide
戦闘パラメータ	Battle Parameters
パラメータ増減値	Parameter Increment Values
生命力	Vitality
図鑑達成率	Picture Book Completion Rate
下線	Underline
セーブした日時	Saved Date and Time
購入数	Quantity
経験値ゲージ	EXP Gauge
裏板	Back Plate
キャスト名裏板	Cast name back plate
覚えたスキル	Learned Skills
スキル名前1	Skill Name 1
スキル名前2	Skill Name 2
スキル名前3	Skill Name 3
スキル名前4	Skill Name 4
パラメータ値変化前	Before Parameter Value Change
パラメータ成長	Parameter Growth
上昇ステータス1	Increased Status1
上昇ステータス2	Increased Status2
上昇ステータス3	Increased Status3
上昇ステータス4	Increased Status4
マップ名表示	Map Name Window
売却数	Quantity
サンプルタイトル	Sample Title
ステータス数値	Status Values
しかし{0}が足りなかった！	But there weren't enough {0}!
セーブデータ無し	No Save Data
パーティへ移動させる	Move to the Party
控えへ移動させる	Move to the Reserve
{0}が現れた！	{0} is emerging!
回避率アップ	Increase Evasion Rate
攻撃力アップ	Increase Attack Power
耐性ダウン	Reduce Resistance
瀕死	Less HP
{0} は回避率がアップした!	{0}'s evasion rate increased!
{0} の回避率が元に戻った	{0}'s evasion rate is back to normal.
{0} は攻撃力がアップした!	{0}'s attack power increased!
{0} の攻撃力が元に戻った	{0}'s attack power is back to normal.
{0} は全ての耐性がダウンした…	{0}'s all resistances are reduced...
{0} の全ての耐性が元に戻った!	{0}'s all resistances are back to normal.
EP1_WoodenFloor_01_通行不可	EP1_WoodenFloor_01_Non-Traversable
EP1_rock_01_通行不可	EP1_rock_01_Non-Traversable
EP1_magma_01_通行可能	EP1_magma_01_Traversable
EP1_PoisonSwanp_01_通行不可	EP1_PoisonSwanp_01_Non-Traversable
ベッド1	Bed1
ベッド2	Bed2
つぼ	Vase
ロウソクの火	Candle Flame
壁棚１セット	Wall shelf 1 set
壁棚１	Wall shelf 1
壁棚２セット	Wall shelf 2 set
壁棚２	Wall shelf 2
壁棚３セット	Wall shelf 3 set
壁棚３	Wall shelf 3
ランタン	Lantern
キャンドルスタンド-卓上	Candleholder-Tabletop
キャンドルスタンド-手持ち	Candleholder-Handheld
キャンドルスタンド-壁掛け	Candleholder-WallMounted
水草	WaterPlant
水連	WaterLily
蓮	Lotus
朽ち果てた寺院	Ruined Temple
マグマ	Magma
闇の炎	Flames of Darkness
雲	Cloud
煙突の煙	Chimney Smoke
火の粉	Sparks
岩破壊	Rock destruction
蛍の光	light of a firefly
蛍の光２	light of a firefly2
滝下	under the waterfall
滝下２	under the waterfall2
滝上	above the waterfall
滝上２	above the waterfall2
日差し	Sunlight
爆発	Explosion
光２	Light2
霧２	Fog2
鳥	Bird
霧	Fog
光るパネル	Glowing Panel
砂煙	Sand Cloud
水面の光	Light on the water
遺跡-宝玉-玉_光沢移動なし	Ruins-Orb-Orb_NoLusterMovement
遺跡-宝玉-玉	Ruins-Orb-Orb
遺跡-宝玉-台座	Ruins-Orb-Pedestal
夕方用空遠景	Evening Skybox
水面_2	WaterSurface_2
滝_2	Waterfall_2
滝-角_2	Waterfall-Corner_2
火球	Fireball
雨	Rain
雪	Snow
炎	Fire
煙	Smoke
嵐	Storm
雷	Thunder
紙ふぶき	Confetti
花火	Fireworks
霧	Fog
北風	Cold Wind
闇の炎	Dark Fire
焚き火	Small Fire
スパーク	Spark
宝箱-貴重品	Treasure Chest - Valuable Item
ブロック破壊	Block Destruction
湖面の光	Light on Lake
毒ガス	Poison Gas
火球_finish	Fireball_finish
出現B	Appearance B
登場(悪)	Appearance (Evil)
青色ボタン_old	BlueButton_old
緑色ボタン_old	GreenButton_old
赤色ボタン_old	RedButton_old
黄色ボタン_old	YellowButton_old
青色ボタン-PUSH	BlueButton-PUSH
赤色ボタン-PUSH	RedButton-PUSH
緑色ボタン-PUSH	GreenButton-PUSH
黄色ボタン-PUSH	YellowButton-PUSH
Water_ネムの滝	Water_NemFalls
ベムスイベント用	For Bemus Event
イベント用エフェクト	Event Effect
キノコイベント	Mushroom Event
精霊の剣2D	Spirit Sword 2D
ゴゴゴ	Shaking
集中線	Concentration Line
集中線1	Concentration Line1
集中線2	Concentration Line2
背景_表示	Background_Display
背景出現	Background appearance
ロゴ_ 出現	Logo_ Appearance
ロゴ_表示	Logo_Display
選択中	Selecting
待機中	Waiting
消滅	Disappearance
出現	Appearance
表示中	Displaying
勇者A-精霊の剣取得用	HeroA-GettingSpritSword
勇者A精霊の剣取得演出用	HeroA_GettingSpritSword_forScene
勇者A精霊の剣取得用演出用	HeroA_forGettingSpritSword_forScene
勇者A精霊の剣取得用	HeroA_GettingSpritSword
メニューアニメ用	For menu animation
メニューカーソル	Menu Cursor
タイトルカーソル	Title Cursor
テキストカーソル	Text Cursor
テキストカーソル_黒	Text Cursor_Black
メッセージスプライト	Message Sprite
マップコレクション	Map Collection
カスタム_0	Custom_0
カスタム_1	Custom_1
カスタム_2	Custom_2
Tutorial(朝)_0	Tutorial(morning)_0
勇者	Hero
静止-話す	Stationary-Speak
シート	Sheet
イベントシート	Event Sheet
